numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
2449;RS;2023-2S;Promotor;FAIXA 1;25;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Neutro;1
2450;RS;2023-2S;Promotor;FAIXA 1;26;1;1;Solteiro(a);Médio Completo;22;Procedente;1;Detrator;0
2451;RS;2023-2S;Promotor;FAIXA 1;36;1;1;Solteiro(a);Médio Completo;22;Procedente;3;Neutro;1
2452;RS;2023-2S;Promotor;FAIXA 1;23;1;1;Solteiro(a);Médio Completo;22;Não Solicitou;0;Detrator;0
2453;RS;2023-2S;Promotor;FAIXA 1;42;0;0;Solteiro(a);Médio Completo;22;Procedente;2;Promotor;2
2454;RS;2023-2S;Promotor;FAIXA 1;21;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Promotor;2
2455;RS;2023-2S;Promotor;FAIXA 1;31;0;0;Solteiro(a);Médio Completo;22;Procedente;1;Detrator;0
2456;RS;2023-2S;Promotor;FAIXA 1;44;1;1;Solteiro(a);Médio Completo;22;Procedente;5;Promotor;2
2457;RS;2023-2S;Neutro;FAIXA 1;29;1;1;Solteiro(a);Médio Completo;22;Não Solicitou;0;Detrator;0
2458;RS;2023-2S;Promotor;FAIXA 1;36;0;0;Solteiro(a);Médio Completo;22;Procedente;5;Detrator;0
2459;RS;2023-2S;Promotor;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;22;Procedente;2;Detrator;0
2460;RS;2023-2S;Promotor;FAIXA 1;23;1;1;Solteiro(a);Médio Completo;22;Procedente;4;Detrator;0
2461;RS;2023-2S;Detrator;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;22;Procedente;3;Detrator;0
2462;RS;2023-2S;Promotor;FAIXA 2;25;0;0;Solteiro(a);Médio Completo;22;Não Solicitou;0;Promotor;2
2463;RS;2023-2S;Promotor;FAIXA 1;38;1;1;Solteiro(a);Médio Completo;22;Não Solicitou;0;Promotor;2
2464;BA;2023-2S;Promotor;FAIXA 1;25;0;0;Solteiro(a);Médio Completo;15;Procedente;9;Promotor;2
2465;RJ;2023-1S;Promotor;FAIXA 1;41;0;0;Casado(a);Médio Completo;13;Procedente;6;Promotor;2
2466;GO;2023-2S;Neutro;FAIXA 1;21;1;1;Solteiro(a);Médio Completo;21;Não Solicitou;0;Detrator;0
